System,ROM Name,Description,ISVERTICAL,FW Reborn,LEGENDS,FW Atarashii,INSERT COIN,FOCUS,FW Atarashii Gems,FW Atarashii Mini,FW Atarashii Micro,Vertical,Year,numberPlayers,ctrlType,Buttons,Simple Manufacturer,Joystick Input,Other Input,Manufacturers,,,1080 Avalanche,1775
arcade,commandou,Commando,x,x,x,x,x,x,MINI,x,x,VERTICAL,1985,2,8 way,2,Capcom,joy8way,,Capcom / Data East,,,,#N/A
arcade,congo,Congo Bongo,x,x,x,x,,,,,,VERTICAL,1983,2,8 way,1,SEGA,joy8way,,SEGA,,,,#N/A
arcade,contra,Contra,x,x,x,x,x,x,x,x,,VERTICAL,1987,2,8 way,2,Konami,joy8way,,Konami,,,,#N/A
arcade,cop01,Cop 01,,x,x,x,,,,,,HORIZONTAL,1985,2,8 way,2,Other,joy8way,,Nichibutsu,,,,#N/A
arcade,cosmccop,Cosmic Cop,,,x,x,,,,,,HORIZONTAL,1991,2,8 way,4,Irem,joy8way,,Irem,,,,#N/A
arcade,cosmica,Cosmic Alien,x,x,x,x,,,,,,VERTICAL,1979,2,4 way,1,Other,joy2way,,Universal,,,,#N/A
arcade,cotton,"Cotton (set 4, World)",,x,x,x,,,,,,HORIZONTAL,1991,2,8 way,3,SEGA,joy8way,,Success / SEGA,,,,#N/A
arcade,cotton2,Cotton 2,x,x,x,x,x,,,,,HORIZONTAL,1997,4,8 way,4,Other,joy8way,,Success,,,,#N/A
arcade,crkdown,Crack Down,,x,x,x,,,,,,HORIZONTAL,1989,2,8 way,3,SEGA,joy8way,,SEGA,,,,#N/A
arcade,crsword,Crossed Swords,x,,x,x,,,,,,HORIZONTAL NEOGEO,1991,2,8 way,4,Neo Geo,joy8way,,Alpha Denshi Co.,,,,#N/A
arcade,crusnusa,Cruis'n USA,x,x,x,x,x,,,,,HORIZONTAL,1994,1,analog,8,Midway,,pedal / paddle,Midway,,,,#N/A
arcade,csclub,Capcom Sports Club,,x,x,x,,,,,,HORIZONTAL,1997,2,8 way,3,Capcom,joy8way,,Capcom,,,,#N/A
arcade,csilver,Captain Silver,,x,x,x,,,,,,HORIZONTAL,1987,2,8 way,2,Data East,joy8way,,Data East,,,,#N/A
arcade,csprint,Championship Sprint,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1986,2,analog,0,Atari,,pedal / dial,Atari Games,,,,#N/A
arcade,ctribe,"Combatribes, The",,,x,x,,,,,,HORIZONTAL,1990,3,8 way,3,Technos,joy8way,,Technos Japan / Technos Japan Corp.,,,,#N/A
arcade,cyberbal2p,Cyberball 2072,,x,x,x,,,,,,HORIZONTAL,1989,2,8 way,1,Atari,joy8way,,Atari Games,,,,#N/A
arcade,cyberlip,Cyber-Lip,x,x,x,x,x,,,,,HORIZONTAL NEOGEO,1990,2,8 way,4,Neo Geo,joy8way,,SNK,,,,#N/A
arcade,cybots,Cyberbots: Fullmetal Madness,x,x,x,x,x,,,,,HORIZONTAL,1995,2,8 way,4,Capcom,joy8way,,Capcom,,,,#N/A
arcade,cyvern,Cyvern: The Dragon Weapons,x,x,x,x,x,,,,,VERTICAL,1998,2,8 way,2,Other,joy8way,,Kaneko,,,,#N/A
arcade,daioh,Daioh,x,x,x,x,,,,,,VERTICAL,1993,2,8 way,6,Other,joy8way,,Athena,,,,#N/A
arcade,darkmist,"Lost Castle In Darkmist, The",,x,x,x,,,,,,VERTICAL,1986,2,8 way,2,Taito,joy8way,,Seibu Kaihatsu / Taito,,,,#N/A
arcade,darkseal,Dark Seal,x,x,x,x,x,,,,,HORIZONTAL,1990,2,8 way,2,Data East,joy8way,,Data East,,,,#N/A
arcade,dassault,Desert Assault,,x,x,x,,,,,,HORIZONTAL,1991,4,8 way,2,Data East,joy8way,,Data East,,,,#N/A
arcade,dbreed,Dragon Breed,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1989,2,8 way,4,Irem,joy8way,,Irem,,,,#N/A
arcade,ddonpach,DoDonPachi 1,x,x,x,x,x,x,x,x,,VERTICAL,1997,2,8 way,3,Cave,joy8way,,Cave / Atlus license,,,,#N/A
arcade,ddp2,DoDonPachi 2: Bee Storm,x,x,x,x,,,,,,VERTICAL,2001,4,8 way,4,Other,joy8way,,IGS,,,,#N/A
arcade,ddpdfk,DoDonPachi 4 Dai-Fukkatsu Ver 1.5,x,x,x,x,x,,,,,VERTICAL,2008,2,8 way,4,Cave,joy8way,,Cave / AMI license,,,,#N/A
arcade,ddpdoj,DoDonPachi 3 Dai-Ou-Jou,x,x,x,x,x,,,,,VERTICAL,2002,2,8 way,3,Cave,joy8way,,Cave / AMI license,,,,#N/A
arcade,ddragon,Double Dragon 1,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1987,2,8 way,3,Technos,joy8way,,Technos Japan / Technos Japan Corp.,,,,#N/A
arcade,ddragon2,Double Dragon 2: The Revenge,x,x,x,x,x,,,,,HORIZONTAL,1988,2,8 way,3,Technos,joy8way,,Technos Japan / Technos Japan Corp.,,,,#N/A
arcade,ddribble,Double Dribble,,x,x,x,,,,,,HORIZONTAL,1986,2,8 way,3,Konami,joy8way,,Konami,,,,#N/A
arcade,ddsom,Dungeons & Dragons 2 : Shadow over Mystara,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1996,4,8 way,4,Capcom,joy8way,,Capcom,,,,#N/A
arcade,ddtod,Dungeons & Dragons 1 : Tower of Doom,x,x,x,x,x,,x,,,HORIZONTAL,1993,4,8 way,4,Capcom,joy8way,,Capcom,,,,#N/A
arcade,ddux,"Dynamite Dux (set 3, World)",x,,x,x,,,,,,HORIZONTAL,1988,2,8 way,3,SEGA,joy8way,,SEGA,,,,#N/A
arcade,deadang,Dead Angle,,x,x,x,,,,,,HORIZONTAL,1988,2,8 way,2,Other,joy8way,,Seibu Kaihatsu,,,,#N/A
arcade,deadconx,Dead Connection,,x,x,x,,,,,,HORIZONTAL,1992,4,8 way,2,Taito,joy8way,,Taito,,,,#N/A
arcade,defender,Defender,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1980,1,4 way,5,Williams,joyvertical2way,,Williams,,,,#N/A
arcade,desertbr,Desert Breaker (World),x,x,x,x,,,,,,VERTICAL,1992,3,8 way,3,SEGA,joy8way,,SEGA,,,,#N/A
arcade,devilw,Devil World,,x,x,x,,,,,,HORIZONTAL,1987,2,8 way,3,Konami,joy8way,,Konami,,,,#N/A
arcade,devstors,Devastators,x,x,x,x,x,x,x,x,,VERTICAL,1988,2,8 way,2,Konami,joy8way,,Konami,,,,#N/A
arcade,dfkbl,DoDonPachi 5 SaiDaiOuJou,,x,x,x,,,,,,VERTICAL,2008,2,8 way,3,Toaplan,joy8way,,Toaplan,,,,#N/A
arcade,diehard,Die Hard Arcade,x,,x,x,,,,,,HORIZONTAL,1996,4,8 way,4,SEGA,joy8way,,SEGA,,,,#N/A
arcade,digdug,Dig Dug,x,x,x,x,x,x,MINI,x,x,VERTICAL,1982,2,4 way,1,Namco,joy4way,,Namco,,,,#N/A
arcade,dimahoo,Dimahoo,x,x,x,x,x,x,x,x,x,VERTICAL,2000,2,8 way,3,Capcom,joy8way,,Eighting / Raizing,,,,#N/A
arcade,dino,Cadillacs & Dinosaurs,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1993,3,8 way,2,Capcom,joy8way,,Capcom,,,,#N/A
arcade,djboy,DJ Boy,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1989,2,8 way,3,Other,joy8way,,Kaneko,,,,#N/A
